1,Paget,Saint Petersburg,Florida,1-(727)600-8990,177.228.59.52
2,Delaware,Alexandria,Virginia,1-(571)399-0728,62.36.60.255
3,Kensington,Jamaica,New York,1-(718)662-0229,134.208.219.239
4,Fulton,Saint Louis,Missouri,1-(314)832-8458,163.95.63.250
5,Mesta,Oakland,California,1-(510)701-9239,183.3.206.188
6,Orin,Metairie,Louisiana,1-(504)604-6245,18.180.106.165
7,Pawling,Boise,Idaho,1-(208)353-3881,205.154.118.18
8,Dovetail,Tulsa,Oklahoma,1-(918)396-2382,197.53.94.99
9,Paget,Nashville,Tennessee,1-(615)459-6254,213.82.87.184
10,Mesta,Dallas,Texas,1-(214)646-8505,200.167.201.70
11,Sundown,Atlanta,Georgia,1-(404)150-6172,65.225.53.228
12,Washington,Charlotte,North Carolina,1-(704)447-8213,138.159.56.239
13,Utah,Trenton,New Jersey,1-(609)524-3948,143.50.227.219
14,Miller,San Francisco,California,1-(415)365-3619,227.183.217.249
15,Helena,Vero Beach,Florida,1-(772)672-1382,94.137.250.29
16,Roxbury,San Jose,California,1-(408)959-4557,175.174.11.155
17,Dakota,Kansas City,Missouri,1-(816)392-0931,199.142.218.10
18,Kennedy,Waltham,Massachusetts,1-(617)855-2653,241.137.90.226
19,Everett,Anchorage,Alaska,1-(907)900-1635,211.122.186.133
20,Carpenter,West Palm Beach,Florida,1-(561)872-3546,33.148.247.130
21,Twin Pines,Tuscaloosa,Alabama,1-(205)784-7808,201.145.111.225
22,Thackeray,Des Moines,Iowa,1-(515)854-1995,72.249.110.201
23,Union,Memphis,Tennessee,1-(901)819-9888,117.255.127.240
24,Schmedeman,Knoxville,Tennessee,1-(865)992-4423,40.56.43.195
25,Fuller,Memphis,Tennessee,1-(901)250-2641,251.151.3.13
26,Sommers,Buffalo,New York,1-(716)369-0821,236.91.27.156
27,Basil,Lafayette,Indiana,1-(765)840-6148,107.17.255.161
28,American,Lexington,Kentucky,1-(859)135-3425,70.162.220.140
29,Longview,Rockford,Illinois,1-(815)596-6723,235.17.74.107
30,Oakridge,Fresno,California,1-(559)126-0432,217.61.25.212
31,Maywood,New York City,New York,1-(917)383-2277,129.54.153.38
32,Comanche,Tucson,Arizona,1-(520)257-6305,245.84.47.234
33,Comanche,Waterbury,Connecticut,1-(203)482-3174,149.178.35.191
34,Sunbrook,San Jose,California,1-(408)425-6888,74.40.129.87
35,Portage,Milwaukee,Wisconsin,1-(414)756-6913,100.224.180.119
36,Hauk,Albany,New York,1-(518)255-9499,166.108.218.101
37,Daystar,Brea,California,1-(714)466-7042,48.38.5.103
38,John Wall,Nashville,Tennessee,1-(615)657-1858,125.194.150.192
39,Sunfield,Washington,District of Columbia,1-(202)559-0137,82.93.56.142
40,Old Shore,Jeffersonville,Indiana,1-(812)475-1652,235.122.218.213
41,Raven,Jamaica,New York,1-(212)890-4167,118.26.49.222
42,Buhler,Des Moines,Iowa,1-(515)906-3336,232.15.194.178
43,Red Cloud,El Paso,Texas,1-(915)959-6764,97.201.224.89
44,Prairie Rose,Sacramento,California,1-(916)584-1799,28.174.161.247
45,Paget,Newark,New Jersey,1-(862)518-0814,126.160.51.216
46,Delladonna,Minneapolis,Minnesota,1-(612)969-0864,100.170.77.114
47,Maryland,Chicago,Illinois,1-(773)368-8842,241.29.54.237
48,2nd,Lakeland,Florida,1-(863)339-1380,163.227.46.234
49,Dorton,Young America,Minnesota,1-(952)842-3544,177.135.103.148
50,Glacier Hill,Provo,Utah,1-(801)997-2287,226.84.126.221
